feature,importance_gain,category,risk_flag,shap_mean_abs
Perovskite_composition_leadfree,10.522650860309074,composition,clean,
JV_hysteresis_index,7.581944676062125,metadata/other,clean,
Perovskite_deposition_solvents_mixing_ratios,7.51609918941936,process/deposition,clean,
Backcontact_thickness_list,6.911176706446803,ETL/HTL/contact layers,clean,
Cell_area_measured,6.276651211229438,geometry/cell/module,risk,
Perovskite_deposition_quenching_induced_crystallisation,6.217812419334,process/deposition,clean,
Perovskite_band_gap,5.647535188553969,composition,clean,
Perovskite_composition_a_ions_coefficients,4.43972763110089,composition,risk,
Perovskite_deposition_thermal_annealing_time,4.25669201427117,process/deposition,clean,
Perovskite_deposition_thermal_annealing_temperature,3.967280708469032,process/deposition,clean,
Perovskite_composition_c_ions_coefficients,3.0353424691747373,composition,risk,
JV_scan_speed,2.9086113300575596,metadata/other,risk,
ETL_stack_sequence,2.5013323895062762,device stack,clean,
Perovskite_composition_long_form,2.4052501617343767,composition,clean,
Perovskite_composition_c_ions,2.225447176953201,composition,clean,
Stability_potential_bias_load_condition,2.155741360854725,metadata/other,clean,
EQE_measured,2.063869358025678,measurement/outdoor,risk,
Perovskite_composition_inorganic,1.9817360147330434,composition,clean,
Perovskite_deposition_number_of_deposition_steps,1.6276969449965213,process/deposition,clean,
Cell_architecture,1.3777106454182175,device stack,clean,
Cell_stack_sequence,1.3397386897035444,device stack,clean,
Perovskite_composition_b_ions,1.2715310824407118,composition,clean,
Stability_light_intensity,1.1987789424034623,metadata/other,clean,
Cell_semitransparent,1.0529010247860842,geometry/cell/module,clean,
JV_test_atmosphere,0.8821683026965508,metadata/other,clean,
Perovskite_band_gap_estimation_basis,0.8309296153299232,composition,clean,
JV_light_intensity,0.6770805350988494,metadata/other,clean,
JV_light_source_type,0.6171772726687427,metadata/other,clean,
Perovskite_deposition_aggregation_state_of_reactants,0.5755544214810157,process/deposition,clean,
Cell_flexible,0.5357680582518337,geometry/cell/module,clean,
