feature,importance_gain,risk_flag,shap_mean_abs
Perovskite_composition_leadfree,12.410963055513061,clean,
Perovskite_deposition_solvents_mixing_ratios,8.217766212961564,clean,
Cell_area_measured,6.681921877204344,risk,
Perovskite_deposition_quenching_induced_crystallisation,6.396886446972456,clean,
JV_hysteresis_index,6.396666466137805,risk,
Perovskite_composition_a_ions_coefficients,6.007419859864296,risk,
Perovskite_band_gap,5.33549278109821,clean,
Perovskite_deposition_thermal_annealing_temperature,4.439448546274818,clean,
Perovskite_deposition_thermal_annealing_time,4.242612971558266,clean,
Backcontact_thickness_list,4.1699060202002505,clean,
Stability_potential_bias_load_condition,3.7104103017196746,clean,
Perovskite_composition_c_ions_coefficients,3.090607908421791,risk,
Perovskite_composition_c_ions,2.6449972579101337,clean,
JV_scan_speed,2.471749897119377,risk,
Perovskite_composition_inorganic,2.3666688548562913,clean,
EQE_measured,2.090148516755416,risk,
Perovskite_composition_long_form,1.801698518593908,clean,
Perovskite_composition_b_ions,1.6944010678519197,clean,
Perovskite_deposition_number_of_deposition_steps,1.5143272437558566,clean,
Perovskite_band_gap_estimation_basis,1.4358814639056883,clean,
Cell_architecture,1.4053245857194425,clean,
Cell_semitransparent,1.3602043238951027,clean,
ETL_stack_sequence,1.342456096860011,clean,
JV_test_atmosphere,1.2124076976062759,risk,
JV_light_intensity,1.1877004105363471,risk,
Perovskite_deposition_aggregation_state_of_reactants,1.0719893642050673,clean,
Cell_stack_sequence,0.986832282393718,clean,
Cell_flexible,0.6831409704760893,clean,
Perovskite_composition_b_ions_coefficients,0.643908501157565,risk,
Perovskite_dimension_list_of_layers,0.5422627595590191,clean,
