model,cv_r2_mean,cv_r2_std,holdout_r2,mae,rmse,overfit_flag,params,delta_vs_original_top40,delta_vs_physics_best,delta_vs_historical_baseline
Ens_Cat_XGB_50_50,0.4276493732256384,0.019706706195326253,0.43113584591099496,3.1158140290990746,3.9814120529038965,False,"weights=[0.5, 0.5]",0.024935845910994958,0.006735845910994964,0.007835845910994954
Ens_Cat_XGB_ET_40_40_20,0.42839585023730214,0.01997015766344227,0.43108912704611124,3.1052668310055584,3.981575539416042,False,"weights=[0.4, 0.4, 0.2]",0.024889127046111237,0.006689127046111243,0.007789127046111233
CatBoost_tuned,0.423910685007832,0.020447576036126944,0.430802733436634,3.1173210436691394,3.9825775894488618,False,"{'depth': 6, 'learning_rate': 0.05, 'l2_leaf_reg': 5, 'iterations': 800, 'subsample': 1.0}",0.024602733436633994,0.0064027334366340005,0.00750273343663399
Ens_Cat_XGB_60_40,0.42764932026761376,0.019832908374458197,0.4307807039133773,3.1174974536227587,3.9826546571386667,False,"weights=[0.6, 0.4]",0.0245807039133773,0.006380703913377306,0.007480703913377296
Ens_Cat_XGB_ET_50_30_20,0.4282329981903894,0.020036756032885593,0.43058889500935715,3.1074188749330425,3.9833256149643286,False,"weights=[0.5, 0.3, 0.2]",0.024388895009357148,0.006188895009357154,0.007288895009357144
Ens_Cat_XGB_70_30,0.4272830463188844,0.01996687349455737,0.43012691701828376,3.1202757076648964,3.984941175012539,False,"weights=[0.7, 0.3]",0.023926917018283755,0.005726917018283761,0.006826917018283751
XGBoost_tuned,0.42373094438237935,0.021755705281487667,0.42962548742452156,3.1192403960585575,3.986693958344582,False,"{'max_depth': 5, 'learning_rate': 0.05, 'n_estimators': 500, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_lambda': 5}",0.02342548742452155,0.005225487424521558,0.0063254874245215476
XGBoost,0.4221563231551879,0.019230534447750556,0.4284318824369434,3.121280216975272,3.9908631934508576,False,default,0.022231882436943406,0.0040318824369434125,0.005131882436943402
CatBoost,0.42398689852846666,0.020414225779904194,0.42637368694814715,3.133797610550103,3.99804221122402,False,default,0.02017368694814714,0.0019736869481471464,0.0030736869481471363
Ens_Cat_ET_50_50,0.40749553090632373,0.020373910536971,0.4082155190067476,3.14812813833585,4.060828315263539,False,"weights=[0.5, 0.5]",0.002015519006747568,-0.016184480993252426,-0.015084480993252436
RandomForest,0.35725910329971694,0.02880670713827143,0.3721509331914945,3.227629754028859,4.1827361439405655,False,default,-0.0340490668085055,-0.052249066808505495,-0.051149066808505506
ExtraTrees,0.32303112473574597,0.021139696980409153,0.32184143654325126,3.343919311204523,4.347088358997115,False,default,-0.08435856345674875,-0.10255856345674874,-0.10145856345674875
